task,instance_id,similarity,query_text,matched_text
enem_greedy,enem_greedy_11,0.9264017343521118,"Ela era linda. Gostava de dançar, fazia teatro em São Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos quando ganhou uma câmera de vídeo — e uma irmã. As duas se tornaram suas companheiras de exp","Elena. Eu tive um sonho sobre você ontem a noite. Você era macia. Andando nas ruas de Nova Iorque com uma blusa de seda. Eu tento me aproximar... tocar você... sentir o seu cheiro. Mas quando eu vejo, você está em cima de um muro, enroscada num emaranhado de fios elétricos. Eu olho novamente e sou e"
enem_2022_greedy,enem_2022_greedy_11,0.9264017343521118,"Ela era linda. Gostava de dançar, fazia teatro em São Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos quando ganhou uma câmera de vídeo — e uma irmã. As duas se tornaram suas companheiras de exp","Elena. Eu tive um sonho sobre você ontem a noite. Você era macia. Andando nas ruas de Nova Iorque com uma blusa de seda. Eu tento me aproximar... tocar você... sentir o seu cheiro. Mas quando eu vejo, você está em cima de um muro, enroscada num emaranhado de fios elétricos. Eu olho novamente e sou e"
bigbench_pt_causal_judgment_greedy,bigbench_pt_causal_judgment_greedy_187,0.8984084129333496,"Há um supervilão que tem um grupo de capangas malignos que trabalham para ele. O supervilão e seus capangas são os piores dos piores, nunca perdendo a chance de espalhar malícia e maldade. Na verdade,",Por que devemos trabalhar? Por que temos que pagar para comer? Por que não podemos dividir? Os ricos engordam. Os pobres morrem. Onde está a liberdade neste mundo? Somos todos escravos do trabalho. Trabalhar é divertido? Não! Como poderia ser? Nós não queremos trabalhar. Por isso que o Cabeça de Mar
bigbench_pt_causal_judgment_greedy,bigbench_pt_causal_judgment_greedy_186,0.8974834680557251,"Há um supervilão que tem um grupo de capangas malignos trabalhando para ele. O supervilão e seus capangas são os piores dos piores, nunca perdendo a chance de espalhar malícia e maldade. Na verdade, o",Por que devemos trabalhar? Por que temos que pagar para comer? Por que não podemos dividir? Os ricos engordam. Os pobres morrem. Onde está a liberdade neste mundo? Somos todos escravos do trabalho. Trabalhar é divertido? Não! Como poderia ser? Nós não queremos trabalhar. Por isso que o Cabeça de Mar
bigbench_pt_causal_judgment_greedy,bigbench_pt_causal_judgment_greedy_189,0.895378589630127,"Há um super-herói que tem um grupo de bons ajudantes que trabalham para ele. O super-herói e seus ajudantes são os melhores dos melhores, nunca perdem a chance de fazer o bem. Na verdade, o super-heró","ESCRITÓRIO DA ASSOCIAÇÃO DE HERÓIS DA CIDADE A O Cavaleiro Sem Licença continuará sendo o maior herói de Classe C. Entendido, eu vou informá-lo. Não entendo porque ele não tem vontade de avançar para a Classe B. Agora, o próximo assunto: A 55ª Prova do Certificado de Herói. O número total de inscrit"
mina_br_greedy,mina_br_greedy_1660,0.894911527633667,"SÓ PRA COMEÇAR....QUE NOME É ESSE?????    ISTO É NOME DE GENTE????.......SE FOR DE ALGUM ANIMAL POBREZINHO DO ANIMAL.......O NOME DELA É TÃO RIDÍCULO QUANTO ELA!!!!.........QUE IDIOTA, UM HOMEM NÃO PO","NOMES DE CELEBRIDADES SÃO USADOS COMO PARÓDIA Está vivo! WTFSubs Apresenta: ROBOT CHICKEN S08E16 ""Secret of the Flushed Footlong"" Estamos com sorte. O sujeito deixou sêmen no fundo da garganta. Sabe como dizem... Às vezes a verdade é difícil de engolir. Ohhhh! ASSASSINATO, ELA ESCREVEU Eu sou o xamp"
mina_br_greedy,mina_br_greedy_512,0.8942517042160034,menstruacao puta desgraçada demônio bosta resto de merda de cavalo prostituta filha da puta mal comida vaca desmamada estranha podre escrota resto de aborto rascunho do capeta lixo rata pennywise some,"﻿1 1x01 - Pás são pra cavar Merda, merda, merda merdosa, porra! Ah, tetinha de Jesus, porra. Olá senhor, com licença. Tem horas? 4:20. Da hora. Hoje, eu estava dirigindo por aí no meu carro, e quando digo ""carro"", falo dessa caixa de papelão com rodas pintadas, aí eu dei de cara com uma velha, e ela"
mina_br_greedy,mina_br_greedy_895,0.8932772874832153,se eu mata a mae do tucker alguém passa pano para mim MULHER MAL AMADA DO CARALHO,"﻿1 1x01 - Pás são pra cavar Merda, merda, merda merdosa, porra! Ah, tetinha de Jesus, porra. Olá senhor, com licença. Tem horas? 4:20. Da hora. Hoje, eu estava dirigindo por aí no meu carro, e quando digo ""carro"", falo dessa caixa de papelão com rodas pintadas, aí eu dei de cara com uma velha, e ela"
mina_br_greedy,mina_br_greedy_580,0.8910027742385864,"degenerada, gorda, paranóica, louca, doida, sem amigos, mono teta, professora, corna, peluda, arrombada, sem bunda, descabelada, vaca, imbecil, velha, rampeira, meretriz, paquita, mal comida, arrebent","﻿1 1x01 - Pás são pra cavar Merda, merda, merda merdosa, porra! Ah, tetinha de Jesus, porra. Olá senhor, com licença. Tem horas? 4:20. Da hora. Hoje, eu estava dirigindo por aí no meu carro, e quando digo ""carro"", falo dessa caixa de papelão com rodas pintadas, aí eu dei de cara com uma velha, e ela"
bluex_launch_version_,bluex_launch_version__309,0.8909846544265747,"Uma última gargalhada estrondosa. E depois, o silência. O palhaço jazia imóvel no chão. Mas seu rosto continua sorrindo, para sempre. Porque a carreira original 
do Coringa era para durar apenas 30 pá","""UM FAVOR PARA O CORlNGA"" ...escapou hoje. Ele está armado e é considerado extremamente perigoso. Se o vir... Que ótimo. Um doido causa problema, e não transmitem o jogo por isso. Final perfeito para um dia horrível. O chefe recusou um aumento, nosso filho precisa de aparelho dental... e Bonnie está"
